date,open,high,low,close
1974-02-24,7.97,8.56,7.62,8.5
1974-03-03,8.5,8.75,8.25,8.38
1974-03-10,8.38,8.75,8.25,8.5
1974-03-17,8.5,9.19,8.31,8.81
1974-03-24,8.81,9.12,8.62,9.0
1974-03-31,9.0,9.06,8.25,8.25
1974-04-07,8.25,8.88,8.12,8.38
1974-04-14,8.38,8.5,8.12,8.295
1974-04-21,8.31,8.88,8.19,8.69
1974-04-28,8.69,8.75,8.19,8.38
1974-05-05,8.38,9.19,8.31,8.44
1974-05-12,8.44,8.75,8.38,8.5
1974-05-19,8.5,8.62,8.31,8.31
1974-05-26,8.31,8.62,8.25,8.31
1974-06-02,8.31,8.5,8.19,8.31
1974-06-09,8.31,8.88,8.19,8.75
1974-06-16,8.75,9.06,8.56,8.56
1974-06-23,8.56,8.56,8.06,8.06
1974-06-30,8.06,8.5,7.88,8.25
1974-07-07,8.25,8.31,7.88,7.88
1974-07-14,7.88,7.88,7.31,7.75
1974-07-21,7.75,7.88,7.31,7.44
1974-07-28,7.44,7.75,7.19,7.5
1974-08-04,7.5,7.62,7.31,7.5
1974-08-11,7.5,8.62,7.44,8.38
1974-08-18,8.38,8.38,8.12,8.19
1974-08-25,8.19,8.25,7.38,7.5
1974-09-01,7.5,7.5,6.81,7.25
1974-09-08,7.1875,7.5,6.5,7.38
1974-09-15,7.25,7.25,6.81,6.88
1974-09-22,6.88,7.44,6.81,7.38
1974-09-29,7.38,7.5,6.94,6.94
1974-10-06,6.94,7.0,6.62,6.81
1974-10-13,6.81,7.44,6.62,7.06
1974-10-20,7.06,7.38,6.75,7.31
1974-10-27,7.31,7.56,7.12,7.19
1974-11-03,7.12,7.25,6.88,7.12
1974-11-10,7.06,7.5,6.88,7.12
1974-11-17,7.12,7.5,7.06,7.38
1974-11-24,7.31,7.31,6.75,7.0
1974-12-01,7.0,7.06,6.56,6.62
1974-12-08,6.56,6.56,6.0,6.06
1974-12-15,6.06,6.31,5.88,6.0
1974-12-22,6.0,6.44,6.0,6.38
1974-12-29,6.38,6.38,6.25,6.25
1975-01-05,6.25,6.94,6.19,6.94
1975-01-12,7.0,7.38,6.81,7.31
1975-01-19,7.38,7.62,7.12,7.38
1975-01-26,7.38,7.75,7.31,7.75
1975-02-02,7.81,8.19,7.75,8.0
1975-02-09,8.0,8.19,7.62,7.88
1975-02-16,7.88,8.06,7.62,7.88
1975-02-23,7.91,8.06,7.69,8.0
1975-03-02,8.0,8.0,7.56,7.81
1975-03-09,7.81,8.25,7.56,8.25
1975-03-16,8.25,8.69,8.12,8.56
1975-03-23,8.56,8.56,8.31,8.44
1975-03-30,8.44,8.75,8.25,8.6375
1975-04-06,8.62,8.75,8.5,8.56
1975-04-13,8.56,9.25,8.38,9.25
1975-04-20,9.25,9.81,9.19,9.31
1975-04-27,9.31,9.38,8.88,9.06
1975-05-04,9.06,9.56,8.94,9.38
1975-05-11,9.38,9.75,9.19,9.62
1975-05-18,9.56,9.56,8.75,8.94
1975-05-25,8.94,9.12,8.75,9.06
1975-06-01,9.045,9.19,8.75,8.94
1975-06-08,8.94,9.19,8.81,9.0
1975-06-15,9.0,9.06,8.44,8.62
1975-06-22,8.62,9.06,8.5,9.06
1975-06-29,9.06,9.5,8.81,9.38
1975-07-06,9.44,9.62,9.045,9.1725
